numStars,NumAuthors,NumBlobs,LatestCommitDate,projectID,EarlistCommitDate,rootFork,communitySize,NumCommits,NumFiles
954,653,36525,1599523577,AaronGoldsmith1_generator,1384986254,expressjs_generator,835,7855,25988
48,129,29558,1596541739,AaronLincoln_bitshares1-core,1394242050,bitshares_bitshares1-core,280,10795,3018
225,243,29390,1598913966,Abdurraheem_cli,1418862334,heroku_cli,125,19016,4908
,1115,42324,1599644911,Abrascha_Sonoff-Tasmota,1457620151,arendst_Tasmota,1750,15696,15786
7,177,49410,1599222788,Acidburn0zzz_context.Orion,1379073325,Fiware_context.Orion,168,12939,7934
870,362,138463,1599795173,Acidburn0zzz_freenas,487553220,freenas_freenas,371,102251,56977
595,153,62139,1599798778,Acidburn0zzz_sogo,1150400050,inverse-inc_sogo,190,19770,8392
139,660,19195,1598357087,AcroMedia_commerce,1263703990,drupalcommerce_commerce,396,9323,2626
150,108,38683,1583348500,AdamGagorik_avogadro,1145390323,cryos_avogadro,153,6563,6305
51,496,14244,1599564613,AdamWill_dracut,1228944741,dracutdevs_dracut,232,14735,1416
149,120,101306,1599229762,AdguardTeam_AdguardFilters,1407229961,,112,72172,276
190,257,41231,1600137127,AestheticIntegration_dune,1069593120,ocaml_dune,169,14635,9266
,116,20346,1599299528,Aeternity_ledger-live-desktop,1465853623,,123,10521,3379
269,1109,31173,1599780616,Agent531C_godot-docs,1449935898,godotengine_godot-docs,857,7432,8691
25,143,84435,1597691748,AgressiveAuditor_sourceTiTS,1383222137,OXOIndustries_Trials-in-Tainted-Space,148,16254,11720
199,102,12349,1597820277,Agrowbotix_carmen,1337701528,mapbox_carmen,46,7189,987
61,119,169619,1599569300,AhmedJardak_bonita-engine,1319103552,bonitasoft_bonita-engine,76,14508,24402
,128,32639,1548314473,Akofelaz_oscommerce2,1143481775,,279,6409,17584
1297,295,26018,1600197468,AlecZorab_spire,1320353681,non_spire,308,9265,5418
,249,33010,1598266596,AlexTambovtsev_AlexTambovtsev,761272137,,117,14742,2241
13,139,13068,1596833419,AlexxNica_contrail-web-core,1381217287,Juniper_contrail-web-core,59,9678,2658
403,227,33037,1599083013,AlexxNica_valhalla,1416341305,valhalla_valhalla,295,20406,2709
128,99,38670,1599396928,Alfonsib_wxmaxima,1106993726,andrejv_wxmaxima,73,11652,1469
576,312,121732,1599247049,AlleyLi_Dynamo,1319080442,DynamoDS_Dynamo,436,50419,36554
383,564,34041,1599240828,Alokpro1_wger,1343658210,wger-project_wger,330,14435,16176
,182,25760,1600078195,AlonaKaplan_ovn-kubernetes,1443459420,ovn-org_ovn-kubernetes,145,5021,12040
7,415,25595,1599700596,Alonski_guides-source,1449362367,ember-learn_guides-source,283,6750,27664
1,105,11154,1597336901,AltClick_pybossa-amnesty-theme,1390995507,PyBossa_pybossa-default-theme,71,5593,3635
113,191,9491,1584592808,Alteubent_Lua,1359850071,Windower_Lua,264,7259,2387
73,151,40838,1600068895,AmarOk1412_pjproject,1130792550,pjsip_pjproject,260,32523,28008
2610,250,48842,1598976051,AndreasLoukakis_compat-table,1270676114,kangax_compat-table,810,5778,3861
,244,23351,1598608056,AndrewLucianLu_eclipse.platform.runtime,988823112,,39,16895,4671
179,119,15749,1600276731,AppleDash_shimmie2,1176724705,shish_shimmie2,93,7427,2271
19,110,10823,1598610220,ArayB_cp-zen-platform,1426261489,CoderDojo_cp-zen-platform,66,5073,2059
,78,74327,1570111883,Artea_miro,1113246616,,95,15936,19767
74,464,28406,1598862534,Aselcis-Consulting_l10n-spain,1205257751,OCA_l10n-spain,299,15121,7044
28,62,25319,1573765056,AsherBond_documentation,1309472870,eucalyptus_documentation,53,5035,28964
13,69,20288,1441825591,AsherBond_poolparty,1209858123,auser_poolparty,61,5778,5212
641,246,84148,1598909283,AshishBhattarai_supertux,1049867133,SuperTux_supertux,217,17405,26460
87,125,33687,1598950629,Atlantic777_cvmfs,1310652540,cvmfs_cvmfs,73,19513,5789
,124,65203,1599186226,AuScope_vgml,1230092816,bencaradocdavies_vgml,74,12828,72300
29,135,32058,1590678454,Avectra_shindig,1197414373,apache_shindig,84,14883,20630
51,80,9314,1598276613,AvengerMoJo_DeepSea,1466461389,SUSE_DeepSea,78,6229,2172
,251,76957,1599386506,AzureMentor_azure-docs-cli,1471843568,MicrosoftDocs_azure-docs-cli,165,15883,8232
75,184,190458,1599304553,BLOODWOLF333_megamek,1014229792,MegaMek_megamek,67,43426,757840
38,401,42967,1599038220,BUPTACTN_netconf,1380127939,opendaylight_netconf,61,84191,10610
,82,15414,1542358230,BeXa_songbook,1223741908,,30,6364,5810
345,81,23301,1600105980,Bowie-State-University_tlaplus,1231443160,tlaplus_tlaplus,85,8947,9463
,114,35451,1598968718,Bran-Stark_rDSN,1425624242,,246,8582,8892
,111,12569,1544916086,BrianRamsay_system,1160581581,,74,10324,1101
9,131,21661,1599179566,C1aud3_tds,1471990222,telusdigital_tds,24,11012,3576
1,224,42354,1599062794,CSONG09_web-tractdb,1399413874,tractdb_web-tractdb,206,7280,83332
61,73,48806,1598708716,Cahuzacl_flexicontent-cck,1262864024,FLEXIcontent_flexicontent-cck,48,27798,20967
27,391,27970,1597198127,Chimpanc_f-spot,1068274377,mono_f-spot,66,8430,8467
10,163,20003,1598519682,CloudSlang_cs-actions,1404765900,,56,5509,4078
,91,67379,1598996875,ColemanTom_cylc,1213589848,cylc_cylc-flow,73,18148,13855
9,72,26932,1538427497,CruGlobal_mpdx,1339426181,,4,7129,6680
,110,10638,1599143852,DalavanCloud_balena-supervisor,1370111678,balena-io_balena-supervisor,45,5520,1819
,86,50603,1599640212,DannyDibnah_Project-T,987792451,,58,83401,6556
96,84,20901,1599227228,DeanWei_oxAuth,1395861275,GluuFederation_oxAuth,89,7189,3946
51,234,15185,1598197493,Dikluwe_kicad-doc,1413823030,KiCad_kicad-doc,226,5973,14331
390,75,24138,1600022489,DolphinDream_sverchok,1381777426,nortikin_sverchok,94,15006,5674
67,148,56421,1598859330,EKT_omp,1224538018,pkp_omp,103,12592,13279
9,107,6650,1596599129,F5Networks_f5-openstack-agent,1444753954,,83,5008,1132
